提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G11-001-1,SCN-G11-01,三视图装配,1级,先确认“三视图装配”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G11-001-2,SCN-G11-01,三视图装配,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G11-001-3,SCN-G11-01,三视图装配,3级,自动完成“三视图装配”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G11-002-1,SCN-G11-03,空间装箱线,1级,先确认“空间装箱线”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G11-002-2,SCN-G11-03,空间装箱线,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G11-002-3,SCN-G11-03,空间装箱线,3级,自动完成“空间装箱线”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G11-003-1,SCN-G11-05,受力分散阵,1级,先确认“受力分散阵”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G11-003-2,SCN-G11-05,受力分散阵,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G11-003-3,SCN-G11-05,受力分散阵,3级,自动完成“受力分散阵”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G11-004-1,SCN-G11-07,关节避障序列,1级,先确认“关节避障序列”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G11-004-2,SCN-G11-07,关节避障序列,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G11-004-3,SCN-G11-07,关节避障序列,3级,自动完成“关节避障序列”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G11-013,SCN-G11-05,剧情性失败复盘,1级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G11-014,SCN-G11-05,剧情性失败复盘,2级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G11-015,SCN-G11-05,剧情性失败复盘,3级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
HINT-G11-016,SCN-G11-07,帝江权限解除,1级,帝江权限解除：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G11-017,SCN-G11-07,帝江权限解除,2级,帝江权限解除：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G11-018,SCN-G11-07,帝江权限解除,3级,帝江权限解除：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
