道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G11-001,三视图卡组,工具/证据/材料,HOS-G11-001,HS-G11-0003,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-002,方向轴,工具/证据/材料,HOS-G11-001,HS-G11-0006,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-003,立体模块,工具/证据/材料,HOS-G11-001,HS-G11-0009,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-004,维护通道框,工具/证据/材料,HOS-G11-002,HS-G11-0012,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-005,体积标签,工具/证据/材料,HOS-G11-002,HS-G11-0015,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-006,受力箭头片,工具/证据/材料,HOS-G11-002,HS-G11-0018,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-007,护盾面板,工具/证据/材料,HOS-G11-003,HS-G11-0021,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-008,关节动作卡,工具/证据/材料,HOS-G11-003,HS-G11-0024,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-009,姿态夹,工具/证据/材料,HOS-G11-003,HS-G11-0027,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-010,碰撞探针,工具/证据/材料,HOS-G11-004,HS-G11-0030,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-011,保险锁,工具/证据/材料,SCN-G11-02,HS-G11-0033,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G11-012,帝江控制钥,工具/证据/材料,SCN-G11-03,HS-G11-0036,服务于三视图、体积、空间预留、受力与机械关节序列相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
