存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G11-001,SCN-G11-00,看得见却装不上完成,场景状态、关键物、机制进度、证据和变量,工厂卸料口安全点
AUTO-G11-002,SCN-G11-01,三视图车间完成,场景状态、关键物、机制进度、证据和变量,三视图车间安全点
AUTO-G11-003,SCN-G11-02,空间装箱线完成,场景状态、关键物、机制进度、证据和变量,立体装箱线安全点
AUTO-G11-004,SCN-G11-03,维护通道争议完成,场景状态、关键物、机制进度、证据和变量,维护夹层安全点
AUTO-G11-005,SCN-G11-04,受力分散阵完成,场景状态、关键物、机制进度、证据和变量,护盾测试区安全点
AUTO-G11-006,SCN-G11-05,机械臂碰撞完成,场景状态、关键物、机制进度、证据和变量,机械臂管廊安全点
AUTO-G11-007,SCN-G11-06,关节避障维修完成,场景状态、关键物、机制进度、证据和变量,维修平台安全点
AUTO-G11-008,SCN-G11-07,帝江权限解除完成,场景状态、关键物、机制进度、证据和变量,帝江控制室安全点
AUTO-G11-009,SCN-G11-08,工厂恢复完成,场景状态、关键物、机制进度、证据和变量,生产主线安全点
AUTO-G11-010,SCN-G11-09,回访与结算完成,场景状态、关键物、机制进度、证据和变量,工程档案台安全点
