映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G11-001,MECH-036,三视图装配,SCN-G11-00/SCN-G11-01,UI-048,HS-G11-0001—0008,DANGER-056,机制与场景状态对应
MAP-G11-002,MECH-037,空间装箱线,SCN-G11-02/SCN-G11-03,UI-049,HS-G11-0009—0016,DANGER-057,机制与场景状态对应
MAP-G11-003,MECH-038,受力分散阵,SCN-G11-04/SCN-G11-05,UI-050,HS-G11-0017—0024,DANGER-058,机制与场景状态对应
MAP-G11-004,MECH-039,关节避障序列,SCN-G11-06/SCN-G11-07,UI-051,HS-G11-0025—0032,DANGER-059,机制与场景状态对应
MAP-G11-005,UI-078,管理员对话/权限解除,SCN-G11-07,UI-078,HS-G11-0029—0032,DANGER-059/DANGER-060/DANGER-061,替代旧Boss战
MAP-G11-006,UI-079,世界改变/学习结算,SCN-G11-08/SCN-G11-09,UI-079,HS-G11-0033—0040,无,章节结算
MAP-G11-007,DANGER-056,立体工厂危险1,SCN-G11-00,UI-005/UI-012,HS-G11-0001,关联机制,预警、安全窗口与软重置
MAP-G11-008,DANGER-057,立体工厂危险2,SCN-G11-01,UI-005/UI-012,HS-G11-0005,关联机制,预警、安全窗口与软重置
MAP-G11-009,DANGER-058,立体工厂危险3,SCN-G11-02,UI-005/UI-012,HS-G11-0009,关联机制,预警、安全窗口与软重置
MAP-G11-010,DANGER-059,立体工厂危险4,SCN-G11-03,UI-005/UI-012,HS-G11-0013,关联机制,预警、安全窗口与软重置
MAP-G11-011,DANGER-060,立体工厂危险5,SCN-G11-04,UI-005/UI-012,HS-G11-0017,关联机制,预警、安全窗口与软重置
MAP-G11-012,DANGER-061,立体工厂危险6,SCN-G11-05,UI-005/UI-012,HS-G11-0021,关联机制,预警、安全窗口与软重置
