对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G11-0001,SCN-G11-00,七码,正视图完全匹配。侧视图也匹配。装起来为什么还会互相穿过？,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0002,SCN-G11-01,星宇,因为图纸是平的，零件不是。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0003,SCN-G11-02,面面,三张图都要对，还要看内部有没有东西。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0004,SCN-G11-03,箱箱,装满不是完成，维护人员还得进去。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0005,SCN-G11-04,臂叔,机械臂不会临场想办法，每一步都要提前写清楚。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0006,SCN-G11-05,帝江,空间应被完全利用。空隙等同浪费。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0007,SCN-G11-06,星宇,能维护、能撤离、能调整的空间，也是系统的一部分。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0008,SCN-G11-07,帝江,开放维护通道。允许多解装配与安全序列。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G11-0009,SCN-G11-08,装配师面面,装配师面面：关于“工厂恢复”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0010,SCN-G11-09,仓线员箱箱,仓线员箱箱：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0011,SCN-G11-00,机械师臂叔,机械师臂叔：关于“看得见却装不上”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0012,SCN-G11-01,帝江,帝江：关于“三视图车间”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0013,SCN-G11-02,星宇,星宇：关于“空间装箱线”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0014,SCN-G11-03,七码,七码：关于“维护通道争议”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0015,SCN-G11-04,装配师面面,星宇把箱体填满以追求容量最大，堵住维护通道；必须卸出模块并保留空间。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0016,SCN-G11-05,仓线员箱箱,仓线员箱箱：关于“机械臂碰撞”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0017,SCN-G11-06,机械师臂叔,机械师臂叔：关于“关节避障维修”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0018,SCN-G11-07,帝江,帝江：关于“帝江权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0019,SCN-G11-08,星宇,帝江的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0020,SCN-G11-09,七码,七码：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0021,SCN-G11-00,装配师面面,装配师面面：关于“看得见却装不上”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0022,SCN-G11-01,仓线员箱箱,仓线员箱箱：关于“三视图车间”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0023,SCN-G11-02,机械师臂叔,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G11-0024,SCN-G11-03,帝江,帝江：关于“维护通道争议”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
