热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G11-0001,SCN-G11-00,看得见却装不上-调查证据,调查证据,点击/扫描,进入场景,记录看得见却装不上的关键证据,无,已读,OBJ-G11-001
HS-G11-0002,SCN-G11-00,看得见却装不上-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得看得见却装不上所需工具或证据,提示缩小范围,找物完成,OBJ-G11-001
HS-G11-0003,SCN-G11-00,看得见却装不上-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进看得见却装不上对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-001
HS-G11-0004,SCN-G11-00,看得见却装不上-完成确认,完成确认,提交/确认,机制条件全部满足,完成看得见却装不上并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-001
HS-G11-0005,SCN-G11-01,三视图车间-调查证据,调查证据,点击/扫描,进入场景,记录三视图车间的关键证据,无,已读,OBJ-G11-002
HS-G11-0006,SCN-G11-01,三视图车间-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得三视图车间所需工具或证据,提示缩小范围,找物完成,OBJ-G11-002
HS-G11-0007,SCN-G11-01,三视图车间-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进三视图车间对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-002
HS-G11-0008,SCN-G11-01,三视图车间-完成确认,完成确认,提交/确认,机制条件全部满足,完成三视图车间并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-002
HS-G11-0009,SCN-G11-02,空间装箱线-调查证据,调查证据,点击/扫描,进入场景,记录空间装箱线的关键证据,无,已读,OBJ-G11-003
HS-G11-0010,SCN-G11-02,空间装箱线-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得空间装箱线所需工具或证据,提示缩小范围,找物完成,OBJ-G11-003
HS-G11-0011,SCN-G11-02,空间装箱线-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进空间装箱线对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-003
HS-G11-0012,SCN-G11-02,空间装箱线-完成确认,完成确认,提交/确认,机制条件全部满足,完成空间装箱线并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-003
HS-G11-0013,SCN-G11-03,维护通道争议-调查证据,调查证据,点击/扫描,进入场景,记录维护通道争议的关键证据,无,已读,OBJ-G11-004
