变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G07-001,g07_intro_done,bool,false,首场景完成,保存,无
VAR-G07-002,g07_mech_1_done,bool,false,城门平移一格完成,保存,权限条件
VAR-G07-003,g07_mech_2_done,bool,false,最后一块空地完成,保存,权限条件
VAR-G07-004,g07_mech_3_done,bool,false,周长封锁线完成,保存,权限条件
VAR-G07-005,g07_mech_4_done,bool,false,三角支撑网完成,保存,权限条件
VAR-G07-006,g07_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G07-007,g07_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G07-008,g07_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G07-009,g07_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G07-010,g07_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G07-011,g07_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G07-012,g07_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G07-013,g07_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G07-014,g07_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G07-015,g07_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G07-016,g07_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G07-017,g07_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G07-018,g07_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G07-019,g07_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G07-020,g07_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G07-021,g07_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G07-022,g07_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G07-023,g07_chapter_complete,bool,false,章节结算,跨章保存,解锁G08
VAR-G07-024,world_star_core_count,int,5,章节完成,跨章保存,完成后+1
VAR-G07-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G07-026,g07_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G07-027,g07_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G07-028,g07_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G07-029,g07_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
