道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G07-001,模块图纸,工具/证据/材料,HOS-G07-001,HS-G07-0003,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-002,空格标记,工具/证据/材料,HOS-G07-001,HS-G07-0006,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-003,公共通道牌,工具/证据/材料,HOS-G07-001,HS-G07-0009,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-004,应急空地旗,工具/证据/材料,HOS-G07-002,HS-G07-0012,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-005,边界测绳,工具/证据/材料,HOS-G07-002,HS-G07-0015,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-006,封锁桩,工具/证据/材料,HOS-G07-002,HS-G07-0018,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-007,三角支撑杆,工具/证据/材料,HOS-G07-003,HS-G07-0021,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-008,节点扣,工具/证据/材料,HOS-G07-003,HS-G07-0024,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-009,震动记录器,工具/证据/材料,HOS-G07-003,HS-G07-0027,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-010,塔架铆钉,工具/证据/材料,HOS-G07-004,HS-G07-0030,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-011,城市许可章,工具/证据/材料,SCN-G07-02,HS-G07-0033,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G07-012,夔控制钥,工具/证据/材料,SCN-G07-03,HS-G07-0036,服务于面积、周长、空间布局、公共通道和三角稳定相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
