对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G07-0001,SCN-G07-00,七码,所有格子都填满了。城市利用率百分之百。逃生率目前无法计算。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0002,SCN-G07-01,星宇,留空不是浪费，空地本身也有用途。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0003,SCN-G07-02,格格,城门只能移动一格，可每移动一格，整条路都会变。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0004,SCN-G07-03,小隅,我们不是图纸上的空白，我们需要能经过的路。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0005,SCN-G07-04,三角叔,四边形会晃，补一根斜杆，它就知道自己该站在哪里。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0006,SCN-G07-05,夔,稳定必须来自固定。所有模块禁止移动。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0007,SCN-G07-06,星宇,真正的稳定也包括改变之后还能恢复。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0008,SCN-G07-07,夔,解除震动锁。保留公共空地与复核通道。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G07-0009,SCN-G07-08,规划员格格,规划员格格：关于“城市恢复”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0010,SCN-G07-09,居民小隅,居民小隅：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0011,SCN-G07-00,结构师三角叔,结构师三角叔：关于“错位城门”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0012,SCN-G07-01,夔,夔：关于“一格移动广场”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0013,SCN-G07-02,星宇,星宇：关于“最后一块空地”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0014,SCN-G07-03,七码,七码：关于“公共通道争议”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0015,SCN-G07-04,规划员格格,星宇第一次追求最大利用率，占用了最后一块公共空地，导致应急通道被堵；必须撤回布局。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0016,SCN-G07-05,居民小隅,居民小隅：关于“震动重排”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0017,SCN-G07-06,结构师三角叔,结构师三角叔：关于“塔架加固”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0018,SCN-G07-07,夔,夔：关于“夔权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0019,SCN-G07-08,星宇,夔的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0020,SCN-G07-09,七码,七码：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0021,SCN-G07-00,规划员格格,规划员格格：关于“错位城门”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0022,SCN-G07-01,居民小隅,居民小隅：关于“一格移动广场”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0023,SCN-G07-02,结构师三角叔,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G07-0024,SCN-G07-03,夔,夔：关于“公共通道争议”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
