映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G07-001,MECH-020,城门平移一格,SCN-G07-00/SCN-G07-01,UI-032,HS-G07-0001—0008,DANGER-032,机制与场景状态对应
MAP-G07-002,MECH-021,最后一块空地,SCN-G07-02/SCN-G07-03,UI-033,HS-G07-0009—0016,DANGER-033,机制与场景状态对应
MAP-G07-003,MECH-022,周长封锁线,SCN-G07-04/SCN-G07-05,UI-034,HS-G07-0017—0024,DANGER-034,机制与场景状态对应
MAP-G07-004,MECH-023,三角支撑网,SCN-G07-06/SCN-G07-07,UI-035,HS-G07-0025—0032,DANGER-035,机制与场景状态对应
MAP-G07-005,UI-070,管理员对话/权限解除,SCN-G07-07,UI-070,HS-G07-0029—0032,DANGER-035/DANGER-036/DANGER-037,替代旧Boss战
MAP-G07-006,UI-071,世界改变/学习结算,SCN-G07-08/SCN-G07-09,UI-071,HS-G07-0033—0040,无,章节结算
MAP-G07-007,DANGER-032,方格城危险1,SCN-G07-00,UI-005/UI-012,HS-G07-0001,关联机制,预警、安全窗口与软重置
MAP-G07-008,DANGER-033,方格城危险2,SCN-G07-01,UI-005/UI-012,HS-G07-0005,关联机制,预警、安全窗口与软重置
MAP-G07-009,DANGER-034,方格城危险3,SCN-G07-02,UI-005/UI-012,HS-G07-0009,关联机制,预警、安全窗口与软重置
MAP-G07-010,DANGER-035,方格城危险4,SCN-G07-03,UI-005/UI-012,HS-G07-0013,关联机制,预警、安全窗口与软重置
MAP-G07-011,DANGER-036,方格城危险5,SCN-G07-04,UI-005/UI-012,HS-G07-0017,关联机制,预警、安全窗口与软重置
MAP-G07-012,DANGER-037,方格城危险6,SCN-G07-05,UI-005/UI-012,HS-G07-0021,关联机制,预警、安全窗口与软重置
