存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G07-001,SCN-G07-00,错位城门完成,场景状态、关键物、机制进度、证据和变量,方格城外门安全点
AUTO-G07-002,SCN-G07-01,一格移动广场完成,场景状态、关键物、机制进度、证据和变量,模块广场安全点
AUTO-G07-003,SCN-G07-02,最后一块空地完成,场景状态、关键物、机制进度、证据和变量,城市规划厅安全点
AUTO-G07-004,SCN-G07-03,公共通道争议完成,场景状态、关键物、机制进度、证据和变量,居民巷道安全点
AUTO-G07-005,SCN-G07-04,封锁线测量完成,场景状态、关键物、机制进度、证据和变量,震动边界区安全点
AUTO-G07-006,SCN-G07-05,震动重排完成,场景状态、关键物、机制进度、证据和变量,重排核心安全点
AUTO-G07-007,SCN-G07-06,塔架加固完成,场景状态、关键物、机制进度、证据和变量,中央塔架安全点
AUTO-G07-008,SCN-G07-07,夔权限解除完成,场景状态、关键物、机制进度、证据和变量,地震控制塔安全点
AUTO-G07-009,SCN-G07-08,城市恢复完成,场景状态、关键物、机制进度、证据和变量,城市主轴安全点
AUTO-G07-010,SCN-G07-09,回访与结算完成,场景状态、关键物、机制进度、证据和变量,公共空地安全点
