提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G07-001-1,SCN-G07-01,城门平移一格,1级,先确认“城门平移一格”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G07-001-2,SCN-G07-01,城门平移一格,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G07-001-3,SCN-G07-01,城门平移一格,3级,自动完成“城门平移一格”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G07-002-1,SCN-G07-03,最后一块空地,1级,先确认“最后一块空地”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G07-002-2,SCN-G07-03,最后一块空地,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G07-002-3,SCN-G07-03,最后一块空地,3级,自动完成“最后一块空地”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G07-003-1,SCN-G07-05,周长封锁线,1级,先确认“周长封锁线”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G07-003-2,SCN-G07-05,周长封锁线,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G07-003-3,SCN-G07-05,周长封锁线,3级,自动完成“周长封锁线”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G07-004-1,SCN-G07-07,三角支撑网,1级,先确认“三角支撑网”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G07-004-2,SCN-G07-07,三角支撑网,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G07-004-3,SCN-G07-07,三角支撑网,3级,自动完成“三角支撑网”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G07-013,SCN-G07-05,剧情性失败复盘,1级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G07-014,SCN-G07-05,剧情性失败复盘,2级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G07-015,SCN-G07-05,剧情性失败复盘,3级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
HINT-G07-016,SCN-G07-07,夔权限解除,1级,夔权限解除：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G07-017,SCN-G07-07,夔权限解除,2级,夔权限解除：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G07-018,SCN-G07-07,夔权限解除,3级,夔权限解除：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
