场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G07-00,错位城门,方格城外门,入场调查,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成错位城门的调查、找物、机制或权限目标,SCN-G07-01,AUTO-G07-001,模块图纸,DANGER-032,UI-032
SCN-G07-01,一格移动广场,模块广场,机制推进,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成一格移动广场的调查、找物、机制或权限目标,SCN-G07-02,AUTO-G07-002,空格标记,DANGER-033,UI-032
SCN-G07-02,最后一块空地,城市规划厅,找物与机制,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成最后一块空地的调查、找物、机制或权限目标,SCN-G07-03,AUTO-G07-003,公共通道牌,DANGER-034,UI-033
SCN-G07-03,公共通道争议,居民巷道,机制推进,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成公共通道争议的调查、找物、机制或权限目标,SCN-G07-04,AUTO-G07-004,应急空地旗,DANGER-035,UI-033
SCN-G07-04,封锁线测量,震动边界区,找物与机制,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成封锁线测量的调查、找物、机制或权限目标,SCN-G07-05,AUTO-G07-005,边界测绳,DANGER-036,UI-034
SCN-G07-05,震动重排,重排核心,剧情性失败/修正,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成震动重排的调查、找物、机制或权限目标,SCN-G07-06,AUTO-G07-006,封锁桩,DANGER-037,UI-034
SCN-G07-06,塔架加固,中央塔架,机制推进,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成塔架加固的调查、找物、机制或权限目标,SCN-G07-07,AUTO-G07-007,三角支撑杆,DANGER-037,UI-035
SCN-G07-07,夔权限解除,地震控制塔,管理员权限解除,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成夔权限解除的调查、找物、机制或权限目标,SCN-G07-08,AUTO-G07-008,节点扣,DANGER-035/DANGER-036/DANGER-037,UI-070
SCN-G07-08,城市恢复,城市主轴,世界改变/回访,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成城市恢复的调查、找物、机制或权限目标,SCN-G07-09,AUTO-G07-009,震动记录器,无,UI-071
SCN-G07-09,回访与结算,公共空地,世界改变/回访,星宇、七码、规划员格格、居民小隅、结构师三角叔、夔,完成回访与结算的调查、找物、机制或权限目标,G08,AUTO-G07-010,塔架铆钉,无,UI-071
