映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G06-001,MECH-016,九片航线重组,SCN-G06-00/SCN-G06-01,UI-028,HS-G06-0001—0008,DANGER-026,机制与场景状态对应
MAP-G06-002,MECH-017,缺口表归并,SCN-G06-02/SCN-G06-03,UI-029,HS-G06-0009—0016,DANGER-027,机制与场景状态对应
MAP-G06-003,MECH-018,比例桥材切分,SCN-G06-04/SCN-G06-05,UI-030,HS-G06-0017—0024,DANGER-028,机制与场景状态对应
MAP-G06-004,MECH-019,岛链能源配比,SCN-G06-06/SCN-G06-07,UI-031,HS-G06-0025—0032,DANGER-029,机制与场景状态对应
MAP-G06-005,UI-068,管理员对话/权限解除,SCN-G06-07,UI-068,HS-G06-0029—0032,DANGER-029/DANGER-030/DANGER-031,替代旧Boss战
MAP-G06-006,UI-069,世界改变/学习结算,SCN-G06-08/SCN-G06-09,UI-069,HS-G06-0033—0040,无,章节结算
MAP-G06-007,DANGER-026,分片群岛危险1,SCN-G06-00,UI-005/UI-012,HS-G06-0001,关联机制,预警、安全窗口与软重置
MAP-G06-008,DANGER-027,分片群岛危险2,SCN-G06-01,UI-005/UI-012,HS-G06-0005,关联机制,预警、安全窗口与软重置
MAP-G06-009,DANGER-028,分片群岛危险3,SCN-G06-02,UI-005/UI-012,HS-G06-0009,关联机制,预警、安全窗口与软重置
MAP-G06-010,DANGER-029,分片群岛危险4,SCN-G06-03,UI-005/UI-012,HS-G06-0013,关联机制,预警、安全窗口与软重置
MAP-G06-011,DANGER-030,分片群岛危险5,SCN-G06-04,UI-005/UI-012,HS-G06-0017,关联机制,预警、安全窗口与软重置
MAP-G06-012,DANGER-031,分片群岛危险6,SCN-G06-05,UI-005/UI-012,HS-G06-0021,关联机制,预警、安全窗口与软重置
