场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G06-00,风暴散落的航图,漂浮码头,入场调查,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成风暴散落的航图的调查、找物、机制或权限目标,SCN-G06-01,AUTO-G06-001,航图碎片,DANGER-026,UI-028
SCN-G06-01,九岛缺口调查,九岛瞭望台,机制推进,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成九岛缺口调查的调查、找物、机制或权限目标,SCN-G06-02,AUTO-G06-002,边缘编号片,DANGER-027,UI-028
SCN-G06-02,航线拼合台,旧航图室,找物与机制,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成航线拼合台的调查、找物、机制或权限目标,SCN-G06-03,AUTO-G06-003,缺口报告,DANGER-028,UI-029
SCN-G06-03,桥材比例工坊,桥材切分场,机制推进,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成桥材比例工坊的调查、找物、机制或权限目标,SCN-G06-04,AUTO-G06-004,桥材长尺,DANGER-029,UI-029
SCN-G06-04,能源罐站,岛链能源站,找物与机制,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成能源罐站的调查、找物、机制或权限目标,SCN-G06-05,AUTO-G06-005,分数切片,DANGER-030,UI-030
SCN-G06-05,断桥试搭失败,南三岛断口,剧情性失败/修正,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成断桥试搭失败的调查、找物、机制或权限目标,SCN-G06-06,AUTO-G06-006,余料标签,DANGER-031,UI-030
SCN-G06-06,岛链同步维修,中央接驳环,机制推进,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成岛链同步维修的调查、找物、机制或权限目标,SCN-G06-07,AUTO-G06-007,能源罐,DANGER-031,UI-031
SCN-G06-07,共工权限解除,风暴控制塔,管理员权限解除,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成共工权限解除的调查、找物、机制或权限目标,SCN-G06-08,AUTO-G06-008,最低保障牌,DANGER-029/DANGER-030/DANGER-031,UI-068
SCN-G06-08,九岛重连,九岛主航线,世界改变/回访,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成九岛重连的调查、找物、机制或权限目标,SCN-G06-09,AUTO-G06-009,转接扣,无,UI-069
SCN-G06-09,回访与结算,居民码头,世界改变/回访,星宇、七码、岛民阿澜、桥匠榫榫、能源员蓝罐、共工,完成回访与结算的调查、找物、机制或权限目标,G07,AUTO-G06-010,浮桥索,无,UI-069
