对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G06-0001,SCN-G06-00,七码,九张航图里有十一条海岸线。要么岛增加了，要么我把折痕算进去了。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0002,SCN-G06-01,星宇,先按边缘、方向和比例逐项核对，不凭形状像不像。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0003,SCN-G06-02,阿澜,九座岛不是九个数字，每一处缺口后面都有人。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0004,SCN-G06-03,榫榫,平均切开最省事，也最容易让最大的缺口永远修不上。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0005,SCN-G06-04,星宇,材料不够时，更要写清楚先修什么、为什么。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0006,SCN-G06-05,共工,分散意味着失控。所有岛必须服从同一水位和同一配额。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0007,SCN-G06-06,星宇,统一不是把差异抹掉，是让不同需求仍能一起工作。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0008,SCN-G06-07,共工,停止冲刷。开放岛链。保留各岛需求记录。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G06-0009,SCN-G06-08,岛民阿澜,岛民阿澜：关于“九岛重连”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0010,SCN-G06-09,桥匠榫榫,桥匠榫榫：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0011,SCN-G06-00,能源员蓝罐,能源员蓝罐：关于“风暴散落的航图”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0012,SCN-G06-01,共工,共工：关于“九岛缺口调查”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0013,SCN-G06-02,星宇,星宇：关于“航线拼合台”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0014,SCN-G06-03,七码,七码：关于“桥材比例工坊”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0015,SCN-G06-04,岛民阿澜,星宇第一次按平均长度切桥材，导致最宽断口材料不足；失败结果保留并推动重新测量。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0016,SCN-G06-05,桥匠榫榫,桥匠榫榫：关于“断桥试搭失败”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0017,SCN-G06-06,能源员蓝罐,能源员蓝罐：关于“岛链同步维修”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0018,SCN-G06-07,共工,共工：关于“共工权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0019,SCN-G06-08,星宇,共工的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0020,SCN-G06-09,七码,七码：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0021,SCN-G06-00,岛民阿澜,岛民阿澜：关于“风暴散落的航图”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0022,SCN-G06-01,桥匠榫榫,桥匠榫榫：关于“九岛缺口调查”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0023,SCN-G06-02,能源员蓝罐,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G06-0024,SCN-G06-03,共工,共工：关于“桥材比例工坊”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
