提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G06-001-1,SCN-G06-01,九片航线重组,1级,先确认“九片航线重组”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G06-001-2,SCN-G06-01,九片航线重组,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G06-001-3,SCN-G06-01,九片航线重组,3级,自动完成“九片航线重组”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G06-002-1,SCN-G06-03,缺口表归并,1级,先确认“缺口表归并”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G06-002-2,SCN-G06-03,缺口表归并,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G06-002-3,SCN-G06-03,缺口表归并,3级,自动完成“缺口表归并”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G06-003-1,SCN-G06-05,比例桥材切分,1级,先确认“比例桥材切分”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G06-003-2,SCN-G06-05,比例桥材切分,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G06-003-3,SCN-G06-05,比例桥材切分,3级,自动完成“比例桥材切分”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G06-004-1,SCN-G06-07,岛链能源配比,1级,先确认“岛链能源配比”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G06-004-2,SCN-G06-07,岛链能源配比,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G06-004-3,SCN-G06-07,岛链能源配比,3级,自动完成“岛链能源配比”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G06-013,SCN-G06-05,剧情性失败复盘,1级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G06-014,SCN-G06-05,剧情性失败复盘,2级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G06-015,SCN-G06-05,剧情性失败复盘,3级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
HINT-G06-016,SCN-G06-07,共工权限解除,1级,共工权限解除：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G06-017,SCN-G06-07,共工权限解除,2级,共工权限解除：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G06-018,SCN-G06-07,共工权限解除,3级,共工权限解除：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
