道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G06-001,航图碎片,工具/证据/材料,HOS-G06-001,HS-G06-0003,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-002,边缘编号片,工具/证据/材料,HOS-G06-001,HS-G06-0006,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-003,缺口报告,工具/证据/材料,HOS-G06-001,HS-G06-0009,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-004,桥材长尺,工具/证据/材料,HOS-G06-002,HS-G06-0012,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-005,分数切片,工具/证据/材料,HOS-G06-002,HS-G06-0015,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-006,余料标签,工具/证据/材料,HOS-G06-002,HS-G06-0018,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-007,能源罐,工具/证据/材料,HOS-G06-003,HS-G06-0021,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-008,最低保障牌,工具/证据/材料,HOS-G06-003,HS-G06-0024,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-009,转接扣,工具/证据/材料,HOS-G06-003,HS-G06-0027,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-010,浮桥索,工具/证据/材料,HOS-G06-004,HS-G06-0030,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-011,风暴锚,工具/证据/材料,SCN-G06-02,HS-G06-0033,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G06-012,共工控制钥,工具/证据/材料,SCN-G06-03,HS-G06-0036,服务于分数比例、缺口合并、有限材料与岛链最低能源相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
