热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G06-0001,SCN-G06-00,风暴散落的航图-调查证据,调查证据,点击/扫描,进入场景,记录风暴散落的航图的关键证据,无,已读,OBJ-G06-001
HS-G06-0002,SCN-G06-00,风暴散落的航图-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得风暴散落的航图所需工具或证据,提示缩小范围,找物完成,OBJ-G06-001
HS-G06-0003,SCN-G06-00,风暴散落的航图-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进风暴散落的航图对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-001
HS-G06-0004,SCN-G06-00,风暴散落的航图-完成确认,完成确认,提交/确认,机制条件全部满足,完成风暴散落的航图并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-001
HS-G06-0005,SCN-G06-01,九岛缺口调查-调查证据,调查证据,点击/扫描,进入场景,记录九岛缺口调查的关键证据,无,已读,OBJ-G06-002
HS-G06-0006,SCN-G06-01,九岛缺口调查-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得九岛缺口调查所需工具或证据,提示缩小范围,找物完成,OBJ-G06-002
HS-G06-0007,SCN-G06-01,九岛缺口调查-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进九岛缺口调查对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-002
HS-G06-0008,SCN-G06-01,九岛缺口调查-完成确认,完成确认,提交/确认,机制条件全部满足,完成九岛缺口调查并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-002
HS-G06-0009,SCN-G06-02,航线拼合台-调查证据,调查证据,点击/扫描,进入场景,记录航线拼合台的关键证据,无,已读,OBJ-G06-003
HS-G06-0010,SCN-G06-02,航线拼合台-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得航线拼合台所需工具或证据,提示缩小范围,找物完成,OBJ-G06-003
HS-G06-0011,SCN-G06-02,航线拼合台-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进航线拼合台对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-003
HS-G06-0012,SCN-G06-02,航线拼合台-完成确认,完成确认,提交/确认,机制条件全部满足,完成航线拼合台并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-003
HS-G06-0013,SCN-G06-03,桥材比例工坊-调查证据,调查证据,点击/扫描,进入场景,记录桥材比例工坊的关键证据,无,已读,OBJ-G06-004
HS-G06-0014,SCN-G06-03,桥材比例工坊-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得桥材比例工坊所需工具或证据,提示缩小范围,找物完成,OBJ-G06-004
HS-G06-0015,SCN-G06-03,桥材比例工坊-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进桥材比例工坊对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-004
HS-G06-0016,SCN-G06-03,桥材比例工坊-完成确认,完成确认,提交/确认,机制条件全部满足,完成桥材比例工坊并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-004
HS-G06-0017,SCN-G06-04,能源罐站-调查证据,调查证据,点击/扫描,进入场景,记录能源罐站的关键证据,无,已读,OBJ-G06-005
