存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G06-001,SCN-G06-00,风暴散落的航图完成,场景状态、关键物、机制进度、证据和变量,漂浮码头安全点
AUTO-G06-002,SCN-G06-01,九岛缺口调查完成,场景状态、关键物、机制进度、证据和变量,九岛瞭望台安全点
AUTO-G06-003,SCN-G06-02,航线拼合台完成,场景状态、关键物、机制进度、证据和变量,旧航图室安全点
AUTO-G06-004,SCN-G06-03,桥材比例工坊完成,场景状态、关键物、机制进度、证据和变量,桥材切分场安全点
AUTO-G06-005,SCN-G06-04,能源罐站完成,场景状态、关键物、机制进度、证据和变量,岛链能源站安全点
AUTO-G06-006,SCN-G06-05,断桥试搭失败完成,场景状态、关键物、机制进度、证据和变量,南三岛断口安全点
AUTO-G06-007,SCN-G06-06,岛链同步维修完成,场景状态、关键物、机制进度、证据和变量,中央接驳环安全点
AUTO-G06-008,SCN-G06-07,共工权限解除完成,场景状态、关键物、机制进度、证据和变量,风暴控制塔安全点
AUTO-G06-009,SCN-G06-08,九岛重连完成,场景状态、关键物、机制进度、证据和变量,九岛主航线安全点
AUTO-G06-010,SCN-G06-09,回访与结算完成,场景状态、关键物、机制进度、证据和变量,居民码头安全点
